"Word","Freq"
"shall",54
"areas",35
"landscaping",35
"standards",35
"parking",34
"use",28
"irrigation",24
"water",23
"total",22
"required",21
"lot",20
"landscaped",18
"area",16
"existing",16
"landscape",16
"plant",15
"trees",15
"boulder",14
"requirements",14
"section",14
"design",12
"provided",12
"used",12
"adjacent",11
"including",11
"materials",11
"percent",11
"tree",11
"zones",11
"city",10
"feet",10
"grass",10
"screening",10
"turf",10
"code",9
"one",9
"plan",9
"planting",9
"site",9
"spaces",9
"blank",8
"co",8
"following",8
"high",8
"location",8
"low",8
"material",8
"minimum",8
"municipal",8
"pm",8
"property",8
"street",8
"streetscape",8
"value",8
"include",7
"new",7
"pedestrian",7
"plants",7
"size",7
"systems",7
"construction",6
"except",6
"final",6
"five",6
"inches",6
"less",6
"manager",6
"modification",6
"mulches",6
"number",6
"proposed",6
"redevelopment",6
"sections",6
"six",6
"structure",6
"within",6
"without",6
"xeriscape",6
"zone",6
"building",5
"caliper",5
"designed",5
"inspection",5
"least",5
"limitation",5
"maintenance",5
"planted",5
"provide",5
"rock",5
"square",5
"streets",5
"surfaces",5
"three",5
"trash",5
"will",5
"amount",4
"approved",4
"berms",4
"buildings",4
"curb",4
"development",4
"developments",4
"ground",4
"impacts",4
"interior",4
"limited",4
"lots",4
"meet",4
"paved",4
"plantings",4
"provisions",4
"public",4
"quality",4
"require",4
"service",4
"soil",4
"system",4
"temporary",4
"walls",4
"access",3
"accordance",3
"addition",3
"additional",3
"apply",3
"beds",3
"change",3
"chapter",3
"compliance",3
"conditions",3
"consistent",3
"coverage",3
"drainage",3
"drip",3
"dwelling",3
"efficient",3
"expansion",3
"feature",3
"fencing",3
"fifty",3
"floor",3
"follows",3
"forth",3
"improving",3
"inch",3
"initial",3
"involving",3
"line",3
"locations",3
"met",3
"minimize",3
"mulched",3
"must",3
"nonresidential",3
"noxious",3
"open",3
"preparation",3
"principles",3
"prior",3
"properties",3
"purpose",3
"residential",3
"runoff",3
"set",3
"setbacks",3
"shrubs",3
"space",3
"sufficient",3
"together",3
"twenty-five",3
"unless",3
"valued",3
"width",3
"years",3
"achieved",2
"air",2
"alley",2
"alleys",2
"also",2
"applicant",2
"application",2
"appropriate",2
"bark",2
"botanical",2
"certificate",2
"collection",2
"colorado",2
"common",2
"comply",2
"concurrent",2
"conservation",2
"control",2
"criteria",2
"cuts",2
"detail",2
"details",2
"dimension",2
"dimensions",2
"earth",2
"enhance",2
"ensure",2
"entrance",2
"exceed",2
"exceeds",2
"excluded",2
"features",2
"fences",2
"fewer",2
"full",2
"functional",2
"gravel",2
"greater",2
"high-use",2
"identified",2
"improve",2
"information",2
"larger",2
"list",2
"lists",2
"loading",2
"located",2
"low-volume",2
"may",2
"measured",2
"modifications",2
"mulch",2
"needs",2
"one-half",2
"onto",2
"ornamental",2
"otherwise",2
"outdoor",2
"pavement",2
"paving",2
"perimeter",2
"permanent",2
"planning",2
"plazas",2
"portions",2
"proper",2
"protected",2
"protection",2
"providing",2
"quantity",2
"re",2
"recycling",2
"reducing",2
"replacement",2
"requirement",2
"retaining",2
"right-of",2
"rl",2
"rm",2
"rocks",2
"rr",2
"screen",2
"screened",2
"seed",2
"seventy-five",2
"sides",2
"sidewalks",2
"similar",2
"sizes",2
"specific",2
"specifications",2
"specified",2
"storage",2
"stormwater",2
"subsurface",2
"twenty",2
"type",2
"units",2
"upon",2
"urban",2
"useable",2
"uses",2
"visibility",2
"walkways",2
"way",2
"weed",2
"weeds",2
"yards",2
"absorption",1
"action",1
"actual",1
"adaptability",1
"adequate",1
"afford",1
"aisles",1
"allow",1
"along",1
"amendments",1
"appearance",1
"applicable",1
"applied",1
"appraiser",1
"approval",1
"approve",1
"arrow",1
"artificial",1
"assessed",1
"assessor's",1
"attempt",1
"attenuating",1
"attractive",1
"authorized",1
"auto",1
"automatic",1
"avoid",1
"bare",1
"based",1
"benches",1
"better",1
"bike",1
"blend",1
"buffering",1
"bulk",1
"can",1
