"Word","Freq"
"county",350
"land",204
"zoning",204
"",203
"plan",148
"commission",143
"planning",143
"must",139
"subdivision",132
"may",125
"location",124
"board",119
"final",119
"review",118
"use",117
"plat",116
"development",112
"site",112
"property",99
"public",91
"sscrpc",82
"subdivider",82
"ordinance",81
"required",80
"process",75
"area",70
"regional",70
"plans",69
"will",69
"sketch",68
"preliminary",67
"springfield-sangamon",66
"engineer",65
"sangamon",64
"maps",62
"requirements",59
"regulations",58
"approval",57
"committee",57
"within",57
"can",56
"uses",53
"proposed",52
"district",51
"one",47
"variance",47
"lot",43
"construction",42
"scale",42
"also",40
"request",40
"map",39
"tract",39
"approved",38
"code",38
"considered",38
"existing",38
"information",38
"petition",37
"special",36
"survey",35
"project",34
"owner",33
"submitted",32
"minor",31
"provide",31
"recommendation",31
"tion",31
"water",31
"system",30
"upon",30
"allowed",29
"conditions",27
"division",27
"improvements",27
"might",27
"pud",27
"submission",27
"well",27
"agricultural",26
"hearing",26
"large",26
"standards",26
"suitability",26
"clerk",25
"general",25
"guide",25
"meeting",25
"provided",25
"provides",25
"acres",24
"change",24
"floodplain",24
"rezoning",24
"cpu",23
"made",23
"part",23
"permitted",23
"time",23
"two",23
"used",23
"access",22
"approve",22
"areas",22
"section",22
"yes",22
"action",21
"application",21
"appropriate",21
"available",21
"continued",21
"drainage",21
"health",21
"staff",21
"case",20
"changes",20
"however",20
"lots",20
"permit",20
"requests",20
"sewage",20
"appeals",19
"filed",19
"fire",19
"full",19
"greater",19
"illinois",19
"meet",19
"points",19
"streets",19
"subdivided",19
"written",19
"zba",19
"along",18
"building",18
"copies",18
"date",18
"days",18
"example",18
"important",18
"less",18
"reviewed",18
"sewer",18
"additional",17
"addressed",17
"based",17
"deny",17
"dept",17
"developer",17
"disposal",17
"included",17
"lesa",17
"located",17
"month",17
"plats",17
"point",17
"re",17
"recorded",17
"showing",17
"since",17
"appeal",16
"denial",16
"exemption",16
"following",16
"often",16
"owners",16
"page",16
"relief",16
"require",16
"state",16
"variation",16
"wishes",16
"adjacent",15
"apply",15
"decision",15
"easements",15
"flood",15
"granted",15
"include",15
"intended",15
"lines",15
"need",15
"number",15
"private",15
"protection",15
"right",15
"road",15
"temporary",15
"valid",15
"cases",14
"chapter",14
"determine",14
"develop",14
"fee",14
"highway",14
"impact",14
"including",14
"make",14
"prior",14
"sec",14
"soil",14
"department",13
"design",13
"determination",13
"established",13
"found",13
"ing",13
"meets",13
"new",13
"period",13
"roads",13
"safety",13
"soils",13
"title",13
"township",13
"utilities",13
"way",13
"whether",13
"address",12
"addresses",12
"administrator",12
"agriculture",12
"assessment",12
"copy",12
"districts",12
"exception",12
"feet",12
"generally",12
"ment",12
"ments",12
"met",12
"necessary",12
"next",12
"parcel",12
"per",12
"professional",12
"services",12
"single",12
"size",12
"structures",12
"suitable",12
"surveyor",12
"year",12
"ap",11
"called",11
"con",11
"elevation",11
"evaluation",11
"later",11
"least",11
"legal",11
"listed",11
"makes",11
"parcels",11
"particular",11
"phone",11
"recommend",11
"residential",11
"systems",11
"various",11
"certificate",10
"comprehensive",10
"contiguous",10
"cost",10
"determined",10
"dimensions",10
"director",10
"disapproval",10
"either",10
"essential",10
"first",10
"indicating",10
"jurisdiction",10
"natural",10
"officer",10
"registered",10
"regulation",10
"reviews",10
"shall",10
"shown",10
"specific",10
"statement",10
"stating",10
"still",10
"subdi",10
"subdivisions",10
"subject",10
"submit",10
"supply",10
"types",10
"years",10
"a-",9
"applicable",9
"attorney",9
"base",9
"bulk",9
"central",9
"certain",9
"character",9
"classification",9
"com",9
"commissioner",9
"common",9
"concerning",9
"conditional",9
"denied",9
"document",9
"evidence",9
"executive",9
"extra-territorial",9
"foot",9
"ft",9
"items",9
"members",9
"north",9
"notice",9
"ordinances",9
"original",9
"planned",9
"protest",9
"receipt",9
"requested",9
"school",9
"service",9
"signed",9
"simple",9
"sion",9
"springfield",9
"total",9
"width",9
"writing",9
"-year",8
"acre",8
"acreage",8
"adequate",8
"affected",8
"amendment",8
"availability",8
"batch",8
"beginning",8
"begins",8
"city",8
"conformance",8
"corrections",8
"covenants",8
"data",8
"description",8
"determining",8
"different",8
"entire",8
"except",8
"factor",8
"factors",8
"features",8
"filing",8
"finds",8
"go",8
"happens",8
"il",8
"interested",8
"involve",8
"involved",8
"likely",8
"loca",8
"name",8
"names",8
"nearest",8
"negative",8
"noted",8
"parts",8
"petitioner",8
"plants",8
"proceed",8
"questions",8
"recommended",8
"related",8
"restrictions",8
"right-of",8
"second",8
"sections",8
"security",8
"sometimes",8
"stages",8
"sub",8
"unit",8
"unless",8
"us",8
"act",7
"agencies",7
"agency",7
"associated",7
"better",7
"bodies",7
"buildings",7
"cause",7
"certification",7
"comply",7
"considerations",7
"contain",7
"cpus",7
"criteria",7
"de",7
"detail",7
"detailed",7
"developed",7
"distribution",7
"forward",7
"given",7
"granting",7
"help",7
"law",7
"limited",7
"limits",7
"meetings",7
"method",7
"note",7
"parking",7
"permits",7
"portion",7
"prints",7
"procedures",7
"processes",7
"proof",7
"purposes",7
"quality",7
"relevant",7
"requires",7
"restrictive",7
"rpc",7
"sale",7
"sanitary",7
"see",7
"storm",7
"three",7
"tions",7
"traffic",7
"unincorporated",7
"utility",7
"without",7
"adult",6
"allow",6
"allows",6
"amended",6
"applicant",6
"box",6
