"Word","Freq"
"bay-friendly",30
"landscape",28
"plant",22
"submit",20
"plants",19
"requirement",18
"soil",15
"www",15
"org",14
"species",13
"basics",11
"construction",10
"irrigation",10
"reference",10
"checklist",9
"mulch",9
"compost",8
"minimum",8
"bayfriendly",7
"designer",7
"materials",7
"planting",7
"statement",7
"architect",6
"areas",6
"contractor",6
"documentation",6
"feet",6
"guidelines",6
"landscapes",6
"list",6
"plan",6
"practice",6
"practices",6
"require",6
"required",6
"signed",6
"waste",6
"yes",6
"area",5
"controllers",5
"garden",5
"installed",5
"invasive",5
"measure",5
"native",5
"organic",5
"recycling",5
"site",5
"specified",5
"total",5
"use",5
"will",5
"april",4
"available",4
"cal-ipc",4
"can",4
"complete",4
"content",4
"fields",4
"include",4
"information",4
"management",4
"matter",4
"multiple",4
"must",4
"needs",4
"notes",4
"number",4
"page",4
"palette",4
"provide",4
"recycled",4
"requirements",4
"scorecard",4
"shearing",4
"source",4
"square",4
"version",4
"water",4
"analysis",3
"applicable",3
"based",3
"bay",3
"book",3
"buildgreennow",3
"ca",3
"california",3
"climate",3
"demolition",3
"diversion",3
"ebmud",3
"environmental",3
"facility",3
"grow",3
"guide",3
"heads",3
"health",3
"identified",3
"irrigated",3
"legend",3
"less",3
"meet",3
"model",3
"project",3
"rated",3
"recommended",3
"self-adjusting",3
"sheet",3
"sports",3
"spray",3
"spread",3
"sprinkler",3
"standard",3
"trees",3
"turf",3
"verifying",3
"well",3
"wide",3
"adapted",2
"addition",2
"adjacent",2
"alternatives",2
"apply",2
"assurance",2
"bart",2
"bubblers",2
"buildings",2
"carol",2
"chipped",2
"climates",2
"composting",2
"considered",2
"controller",2
"david",2
"definition",2
"delivery",2
"documents",2
"drip",2
"drought",2
"dry",2
"fross",2
"greater",2
"harm",2
"imported",2
"includes",2
"indicating",2
"lawn",2
"little",2
"local",2
"make",2
"maximum",2
"measures",2
"mediterranean",2
"meets",2
"moderate",2
"moisture",2
"mulching",2
"natural",2
"non-turf",2
"occasional",2
"order",2
"per",2
"permit",2
"plans",2
"planted",2
"points",2
"program",2
"projects",2
"pruning",2
"purchased",2
"rate",2
"receipt",2
"recommendation",2
"represents",2
"reuse",2
"shall",2
"shape",2
"size",2
"soils",2
"spaced",2
"spacing",2
"specifications",2
"subcontractors",2
"summer",2
"sunset",2
"supposed",2
"template",2
"testing",2
"ticket",2
"tolerant",2
"used",2
"visit",2
"watering",2
"weather-based",2
"weight",2
"western",2
"without",2
"1d",1
"acceptable",1
"according",1
"achieve",1
"address",1
"adjusting",1
"alien",1
"allow",1
"also",1
"amend",1
"amendment",1
"amount",1
