"Word","Freq"
"parking",136
"area",95
"landscaping",91
"feet",89
"may",84
"required",83
"lot",80
"shall",79
"trees",75
"landscaped",67
"must",67
"yard",60
"front",56
"landscape",49
"areas",46
"minimum",46
"standards",45
"shrubs",41
"site",38
"within",37
"tree",35
"plantings",33
"building",29
"grasses",29
"ornamental",27
"screening",27
"section",27
"requirements",26
"planting",24
"director",23
"lots",23
"planning",23
"property",23
"abutting",22
"height",22
"high",21
"spaces",21
"loading",20
"least",19
"one",19
"side",19
"use",19
"along",18
"chapter",18
"development",18
"overstory",18
"planted",18
"street",18
"zone",18
"materials",17
"perimeter",17
"article",16
"located",16
"provided",16
"decorative",15
"depth",15
"every",15
"screen",15
"substituted",15
"base",14
"design",14
"feature",14
"fence",14
"ft",14
"ground",14
"median",14
"shrub",14
"alternative",13
"buildings",13
"foot",13
"islands",13
"meet",13
"ord",13
"per",13
"requirement",13
"residential",13
"treatment",13
"water",13
"approve",12
"city",12
"coniferous",12
"include",12
"maximum",12
"off-street",12
"require",12
"space",12
"square",12
"storm",12
"frontage",11
"greater",11
"placed",11
"plan",11
"planters",11
"standard",11
"total",11
"approved",10
"count",10
"equal",10
"length",10
"line",10
"number",10
"ordinance",10
"sites",10
"species",10
"upon",10
"adjacent",9
"cover",9
"entry",9
"less",9
"linear",9
"lines",9
"plant",9
"public",9
"quality",9
"rate",9
"rear",9
"reduction",9
"setback",9
"stormwater",9
"streets",9
"surface",9
"used",9
"uses",9
"visual",9
"average",8
"bufferyards",8
"center",8
"designed",8
"edge",8
"features",8
"gross",8
"inches",8
"level",8
"manner",8
"medians",8
"planter",8
"provides",8
"spacing",8
"stalls",8
"time",8
"-foot",7
"addition",7
"additional",7
"circumstances",7
"contain",7
"either",7
"existing",7
"general",7
"generally",7
"installation",7
"lineal",7
"low",7
"mechanical",7
"paving",7
"provide",7
"setbacks",7
"towards",7
"visible",7
"way",7
"width",7
"aisles",6
"based",6
"calculated",6
"candles",6
"commercial",6
"deciduous",6
"drive",6
"exceed",6
"fences",6
"includes",6
"increased",6
"interest",6
"lawn",6
"lighting",6
"non-residential",6
"oversized",6
"ponds",6
"principal",6
"purpose",6
"purposes",6
"separation",6
"small",6
"table",6
"tall",6
"three",6
"units",6
"vehicular",6
"zoning",6
"aisle",5
"ames",5
"applied",5
"approval",5
"approximately",5
"around",5
"configured",5
"construction",5
"contiguous",5
"defined",5
"detention",5
"dispersed",5
"double",5
"driveways",5
"eligible",5
"following",5
"follows",5
"forth",5
"fully",5
"grass",5
"groundcover",5
"installed",5
"iowa",5
"large",5
"loaded",5
"maturity",5
"measured",5
"needed",5
"new",5
"otherwise",5
"permitted",5
"place",5
"plants",5
"properties",5
"ratio",5
"reduced",5
"screened",5
"sec",5
"set",5
"shade",5
"size",5
"soil",5
"subsection",5
"turf",5
"two-family",5
"unless",5
"wide",5
"will",5
"yards",5
"zoned",5
"achieve",4
"aesthetically",4
"apply",4
"arranged",4
"bio-swale",4
"calculating",4
"clustered",4
"code",4
"color",4
"concentrated",4
"configuration",4
"configurations",4
"conform",4
"consist",4
"consists",4
"curb",4
"date",4
"due",4
"effective",4
"ensure",4
"entire",4
"equipment",4
"exempt",4
"facade",4
"figure",4
"garden",4
"growing",4
"improvements",4
"industrial",4
"intended",4
"larger",4
"lieu",4
"listed",4
"means",4
"municipal",4
"nc",4
"necessary",4
