"Word","Freq"
"shall",833
"board",351
"parking",347
"use",331
"may",273
"permit",254
"uses",247
"area",211
"development",210
"special",210
"site",194
"planning",186
"lot",180
"yes",180
"town",179
"district",177
"building",163
"within",157
"sp",156
"section",148
"residential",145
"minimum",144
"buildings",143
"feet",142
"plan",141
"land",140
"provided",135
"permitted",118
"public",117
"dwelling",115
"space",115
"facilities",111
"bylaw",110
"requirements",110
"facility",108
"design",107
"one",106
"page",105
"structures",102
"districts",101
"required",100
"spaces",97
"application",96
"proposed",95
"following",94
"existing",92
"units",89
"including",88
"common",85
"located",84
"zoning",82
"structure",81
"business",80
"floor",80
"regulations",78
"provisions",77
"open",76
"industrial",75
"water",74
"bedford",73
"areas",70
"plans",70
"purpose",69
"yard",69
"mixed",66
"construction",65
"approval",64
"property",64
"bicycle",60
"maximum",60
"pedestrian",60
"materials",59
"flood",58
"limited",58
"accessory",57
"except",56
"housing",56
"residence",56
"street",56
"subject",56
"service",55
"standards",55
"two",55
"front",54
"general",54
"number",54
"applicant",53
"meeting",53
"will",53
"vehicle",52
"line",51
"size",51
"appropriate",50
"features",50
"upon",50
"used",50
"access",49
"height",49
"require",49
"square",49
"storage",49
"authority",48
"frontage",48
"care",47
"retail",47
"additional",46
"ground",46
"include",46
"removal",46
"set",46
"similar",46
"family",45
"inspector",45
"new",45
"review",44
"unit",44
"impact",43
"single",43
"tract",43
"conditions",41
"re",41
"side",41
"accordance",40
"landscaping",40
"protection",40
"provide",40
"home",39
"massachusetts",39
"owner",39
"table",39
"purposes",38
"surface",38
"plain",37
"principal",37
"affordable",36
"exceed",36
"marijuana",36
"office",36
"private",36
"defined",35
"department",35
"gross",35
"professional",35
"provision",35
"shop",35
"statement",35
"traffic",35
"wetland",35
"applicable",34
"dimensional",34
"forth",34
"landscape",34
"least",34
"time",34
"criteria",33
"lots",33
"made",33
"premises",33
"registered",33
"without",33
"environmental",32
"less",32
"shared",32
"amended",31
"motor",31
"submitted",31
"wireless",31
"commercial",30
"communications",30
"coverage",30
"information",30
"medical",30
"ownership",30
"project",30
"type",30
"way",30
"center",29
"historic",29
"related",28
"yards",28
"zone",28
"allowed",27
"ch",27
"character",27
"developments",27
"neighborhood",27
"nr",27
"otherwise",27
"overlay",27
"prd",27
"subdivision",27
"submit",27
"total",27
"width",27
"adjacent",26
"cluster",26
"conservation",26
"nursing",26
"rear",26
"amendments",25
"appearance",25
"approved",25
"buffer",25
"case",25
"density",25
"extent",25
"form",25
"granted",25
"granting",25
"groundwater",25
"issued",25
"per",25
"said",25
"visual",25
"amendment",24
"con",24
"days",24
"health",24
"percent",24
"recreation",24
"repair",24
"requirement",24
"road",24
"trailer",24
"treatment",24
"addition",23
"adequate",23
"annual",23
"boundaries",23
"bylaws",23
"copies",23
