"Word","Freq"
"water",544
"landscape",428
"irrigation",387
"shall",246
"means",173
"use",171
"areas",168
"project",133
"soil",112
"area",108
"plant",108
"design",105
"plan",105
"system",101
"section",94
"city",88
"plants",86
"page",78
"code",75
"efficient",74
"chapter",73
"applicant",70
"documentation",70
"per",69
"may",68
"package",68
"landscapes",66
"applied",61
"required",61
"local",57
"california",55
"factor",54
"feet",53
"following",52
"ordinance",51
"pressure",51
"low",50
"projects",48
"rate",48
"systems",47
"flow",46
"appendix",45
"square",44
"total",44
"valve",44
"requirements",43
"etaf",42
"runoff",42
"new",41
"certificate",40
"report",40
"used",40
"must",39
"recycled",39
"sacramento",39
"completion",38
"efficiency",38
"hydrozone",36
"management",36
"installed",35
"device",34
"devices",34
"irrigated",34
"turf",34
"evapotranspiration",33
"residential",33
"review",33
"existing",32
"include",32
"information",31
"will",31
"based",30
"designed",30
"high",30
"maximum",30
"part",30
"schedule",30
"state",30
"infiltration",29
"sprinkler",29
"address",28
"allowance",28
"analysis",28
"property",28
"submitted",28
"supply",28
"date",27
"planting",27
"stormwater",27
"type",27
"eto",26
"identify",26
"using",26
"emission",25
"non-residential",25
"application",24
"audit",24
"features",24
"grading",24
"maintenance",24
"mawa",24
"mulch",24
"one",24
"owner",24
"recommendations",24
"approved",23
"director",23
"valves",23
"amount",22
"drip",22
"permit",22
"rain",22
"set",22
"special",22
"species",22
"submit",22
"surfaces",22
"gallons",21
"graywater",21
"limited",21
"reference",21
"rehabilitated",21
"site",21
"applicable",20
"certified",20
"check",20
"comply",20
"construction",20
"criteria",20
"exceed",20
"inches",20
"material",20
"size",20
"subject",20
"surface",20
"worksheet",20
"meet",19
"minimum",19
"see",19
"accordance",18
"allowed",18
"automatic",18
"data",18
"including",18
"installation",18
"less",18
"materials",18
"number",18
"point",18
"practices",18
"private",18
"program",18
"public",18
"purveyor",18
"retention",18
"uniformity",18
"year",18
"compliance",17
"greater",17
"heads",17
"overspray",17
"planted",17
"provide",17
"require",17
"auditor",16
"available",16
"building",16
"climate",16
"conducted",16
"conservation",16
"controller",16
"controllers",16
"department",16
"depth",16
"estimated",16
"invasive",16
"licensed",16
"meter",16
"model",16
"overhead",16
"person",16
"prescriptive",16
"root",16
"sensor",16
"setting",16
"spray",16
"agencies",15
"annual",15
"conditions",15
"designee",15
"development",15
"factors",15
"landscaping",15
"recommended",15
"regulations",15
"resources",15
"specified",15
"acre",14
"adjacent",14
"audits",14
"can",14
"certification",14
"components",14
"distribution",14
"either",14
"established",14
"etwu",14
"event",14
"growth",14
"head",14
"included",14
"made",14
"measures",14
"minimize",14
"moisture",14
"name",14
"organic",14
"pervious",14
"prevent",14
"prevention",14
"requirement",14
"signature",14
"significant",14
"slope",14
"table",14
"title",14
"upon",14
"within",14
"zone",14
"also",13
"budget",13
"compost",13
"december",13
"environmental",13
"location",13
"provisions",13
"range",13
"regional",13
"sq",13
"calculation",12
"contractor",12
"control",12
"council",12
"defined",12
"designated",12
"designer",12
"effective",12
"erosion",12
"ft",12
"hydrozones",12
"la",12
"landscaped",12
"operating",12
"precipitation",12
"record",12
"run",12
"selected",12
"six",12
"sla",12
"volume",12
"waste",12
"capture",11
"dedicated",11
"document",11
"four",11
"guidelines",11
"includes",11
"option",11
"rainwater",11
"standard",11
"street",11
"act",10
"allow",10
"applies",10
"appropriate",10
"attach",10
"average",10
"best",10
"calculations",10
"connection",10
"consistent",10
"damage",10
"described",10
"developments",10
"dynamic",10
"elements",10
"establishment",10
"fee",10
"fire",10
"foot",10
"hardscapes",10
"hour",10
"implementation",10
"inspection",10
"lot",10
"method",10
"moderate",10
"native",10
"parcel",10
"planned",10
"professional",10
"protection",10
"purposes",10
"recreational",10
"regular",10
"sample",10
"scheduling",10
"selection",10
"service",10
"similar",10
"slopes",10
"solely",10
"statement",10
"submeter",10
"telephone",10
"test",10
"trees",10
"unless",10
"update",10
"well",10
"adopted",9
"conform",9
"due",9
"dwr",9
"ensure",9
"incorporate",9
"master",9
"maximize",9
"non",9
"percent",9
"performance",9
"plans",9
"portion",9
"quality",9
"recreation",9
"reporting",9
"sections",9
"shut-off",9
"technology",9
"time",9
"years",9
"-hour",8
"academic",8
"agency",8
"apply",8
"asabe",8
"auditing",8
"beneficial",8
"calculated",8
"capacity",8
"cemeteries",8
"common",8
"consider",8
"copy",8
"current",8
"designing",8
"drainage",8
"drawings",8
"encouraged",8
"end",8
"equal",8
"gardens",8
"gravel",8
"icc",8
"implement",8
"increase",8
"individual",8
"lateral",8
"line",8
"lines",8
"lots",8
"manufacturer",8
"measurements",8
"meets",8
"necessary",8
"non-rehabilitated",8
"on-site",8
"parameters",8
"permeable",8
"pipeline",8
"produces",8
"provided",8
"reclamation",8
"reduce",8
"regulation",8
"repair",8
"served",8
"signer",8
"static",8
"station",8
"treated",8
"tree",8
"two",8
"wastewater",8
"weather",8
"wucols",8
"zip",8
"adopt",7
"associated",7
"business",7
"conserving",7
"edible",7
"friable",7
"homes",7
"issued",7
"mwelo",7
"regulators",7
"requiring",7
"sensors",7
"small",7
"ten",7
"",7
"achieve",6
